instance_id,query_group_id,scale_factor,placement
Q1_I01,Q1,SF1,baseline
Q2_I01,Q2,SF1,baseline
Q3_I01,Q3,SF1,baseline
Q4_I01,Q4,SF1,baseline
Q5_I01,Q5,SF1,baseline
Q6_I01,Q6,SF1,baseline
Q7_I01,Q7,SF1,baseline
Q8_I01,Q8,SF1,baseline
Q9_I01,Q9,SF1,baseline
Q10_I01,Q10,SF1,baseline
Q11_I01,Q11,SF1,baseline
Q12_I01,Q12,SF1,baseline
Q13_I01,Q13,SF1,baseline
Q14_I01,Q14,SF1,baseline
Q15_I01,Q15,SF1,baseline
Q1_I02,Q1,SF1,cold
Q2_I02,Q2,SF1,cold
Q3_I02,Q3,SF1,cold
Q4_I02,Q4,SF1,cold
Q5_I02,Q5,SF1,cold
Q6_I02,Q6,SF1,cold
Q7_I02,Q7,SF1,cold
Q8_I02,Q8,SF1,cold
Q9_I02,Q9,SF1,cold
Q10_I02,Q10,SF1,cold
Q11_I02,Q11,SF1,cold
Q12_I02,Q12,SF1,cold
Q13_I02,Q13,SF1,cold
Q14_I02,Q14,SF1,cold
Q15_I02,Q15,SF1,cold
Q1_I03,Q1,SF1,hot
Q2_I03,Q2,SF1,hot
Q3_I03,Q3,SF1,hot
Q4_I03,Q4,SF1,hot
Q5_I03,Q5,SF1,hot
Q6_I03,Q6,SF1,hot
Q7_I03,Q7,SF1,hot
Q8_I03,Q8,SF1,hot
Q9_I03,Q9,SF1,hot
Q10_I03,Q10,SF1,hot
Q11_I03,Q11,SF1,hot
Q12_I03,Q12,SF1,hot
Q13_I03,Q13,SF1,hot
Q14_I03,Q14,SF1,hot
Q15_I03,Q15,SF1,hot
Q1_I04,Q1,SF1,split
Q2_I04,Q2,SF1,split
Q3_I04,Q3,SF1,split
Q4_I04,Q4,SF1,split
Q5_I04,Q5,SF1,split
Q6_I04,Q6,SF1,split
Q7_I04,Q7,SF1,split
Q8_I04,Q8,SF1,split
Q9_I04,Q9,SF1,split
Q10_I04,Q10,SF1,split
Q11_I04,Q11,SF1,split
Q12_I04,Q12,SF1,split
Q13_I04,Q13,SF1,split
Q14_I04,Q14,SF1,split
Q15_I04,Q15,SF1,split
Q1_I05,Q1,SF3,baseline
Q2_I05,Q2,SF3,baseline
Q3_I05,Q3,SF3,baseline
Q4_I05,Q4,SF3,baseline
Q5_I05,Q5,SF3,baseline
Q6_I05,Q6,SF3,baseline
Q7_I05,Q7,SF3,baseline
Q8_I05,Q8,SF3,baseline
Q9_I05,Q9,SF3,baseline
Q10_I05,Q10,SF3,baseline
Q11_I05,Q11,SF3,baseline
Q12_I05,Q12,SF3,baseline
Q13_I05,Q13,SF3,baseline
Q14_I05,Q14,SF3,baseline
Q15_I05,Q15,SF3,baseline
Q1_I06,Q1,SF3,cold
Q2_I06,Q2,SF3,cold
Q3_I06,Q3,SF3,cold
Q4_I06,Q4,SF3,cold
Q5_I06,Q5,SF3,cold
