instance_id,query_group_id,n_terms,n_rel,n_joins,n_anti,n_sel,n_agg,n_group,n_sort,depth,size_class_max,n_large,n_small,tier_min,tier_max,input_mb,query_class
Q1_I01,Q1,1,1,0,0,1,8,2,2,1,large,1,0,1,1,6409.0,aggregate and group over one relation
Q2_I01,Q2,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q3_I01,Q3,1,3,2,0,3,1,3,2,1,large,1,0,0,1,8152.0,"three-way join, group, sort, limit"
Q4_I01,Q4,1,2,0,0,2,1,1,1,2,large,1,0,1,1,7896.0,"semi-join from EXISTS, group, sort"
Q5_I01,Q5,1,6,5,0,2,1,1,1,1,large,1,3,0,1,8169.0,"six-way join, group, sort"
Q6_I01,Q6,1,1,0,0,1,1,0,0,1,large,1,0,1,1,6409.0,selective filter with one aggregate
Q7_I01,Q7,1,5,4,0,2,1,3,3,2,large,1,2,0,1,8168.0,"derived table, five-way join, group, sort"
Q8_I01,Q8,1,7,6,0,3,2,1,1,2,large,1,3,0,1,8465.0,"derived table, seven-way join, ratio aggregate"
Q9_I01,Q9,1,6,5,0,1,1,2,2,2,large,1,2,0,1,9307.0,"derived table, six-way join, group, sort"
Q10_I01,Q10,1,4,3,0,2,1,7,1,1,large,1,1,0,1,8153.0,"four-way join, wide grouping, sort, limit"
Q11_I01,Q11,1,3,2,0,1,1,1,1,2,medium,0,2,0,0,1115.0,three-way join with HAVING against a scalar subquery
Q12_I01,Q12,1,2,1,0,1,2,1,1,1,large,1,0,1,1,7896.0,two-way join with conditional aggregates
Q13_I01,Q13,1,2,1,0,1,2,2,2,2,medium,0,0,0,1,1743.0,"outer join in a derived table, two levels of grouping"
Q14_I01,Q14,1,2,1,0,1,2,0,0,1,large,1,0,0,1,6705.0,two-way join with a ratio aggregate
Q15_I01,Q15,1,2,1,0,1,1,0,0,2,large,1,0,0,1,6705.0,two-way join with correlated aggregate subquery
Q1_I02,Q1,1,1,0,0,1,8,2,2,1,large,1,0,0,0,6409.0,aggregate and group over one relation
Q2_I02,Q2,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q3_I02,Q3,1,3,2,0,3,1,3,2,1,large,1,0,0,0,8152.0,"three-way join, group, sort, limit"
