template_id,instance_id,query_group_id,plan_strategy,strategy_tag,n_ops,n_joins_plan,n_sel_plan,n_agg_plan,n_sort_plan,join_typ,access,n_pipe,pipe_max,n_par,par_max,d_0,d_1,d_2,d_3,n_cross,n_push,tier_span,read_total,write_total,inter_max,reduce,cost,cost_ratio_to_best,optimal,plan_template_id,best_strategy_tag,n_terms,n_rel,n_joins_query,n_anti,n_sel_query,n_agg_query,n_group,n_sort_query,depth,size_class_max,n_large,n_small,tier_min,tier_max,input_mb,query_class
Q1_I01_T01,Q1_I01,Q1,"home, serial, nested_loop",1,3,0,1,1,1,0,0,0,0,0,0,0.0,19347.5,0.0,0.0,0,0,0,12815.4,6532.1,6280.8,0.0196,36.0569,3.9008,0,Q1_I01_T33,33,1,1,0,0,1,8,2,2,1,large,1,0,1,1,6409.0,aggregate and group over one relation
Q1_I01_T04,Q1_I01,Q1,"home, serial, sort_merge",4,5,0,1,1,3,2,0,0,0,0,0,0.0,19850.0,0.0,0.0,0,0,0,13066.7,6783.3,6280.8,0.0196,36.9962,4.0024,0,Q1_I01_T33,33,1,1,0,0,1,8,2,2,1,large,1,0,1,1,6409.0,aggregate and group over one relation
Q1_I01_T05,Q1_I01,Q1,"home, p3, nested_loop",5,3,0,1,1,1,0,0,0,0,1,3,0.0,19347.5,0.0,0.0,0,0,0,12815.4,6532.1,6280.8,0.0196,20.2442,2.1901,0,Q1_I01_T33,33,1,1,0,0,1,8,2,2,1,large,1,0,1,1,6409.0,aggregate and group over one relation
Q1_I01_T08,Q1_I01,Q1,"home, p3, sort_merge",8,5,0,1,1,3,2,0,0,0,1,3,0.0,19850.0,0.0,0.0,0,0,0,13066.7,6783.3,6280.8,0.0196,21.1834,2.2917,0,Q1_I01_T33,33,1,1,0,0,1,8,2,2,1,large,1,0,1,1,6409.0,aggregate and group over one relation
Q1_I01_T09,Q1_I01,Q1,"l2, serial, nested_loop",9,3,0,1,1,1,0,0,0,0,0,0,0.0,12689.8,6657.7,0.0,0,0,1,12815.4,6532.1,6280.8,0.0196,30.39,3.2877,0,Q1_I01_T33,33,1,1,0,0,1,8,2,2,1,large,1,0,1,1,6409.0,aggregate and group over one relation
Q1_I01_T15,Q1_I01,Q1,"l2, serial, sort_merge",15,5,0,1,1,3,2,0,0,0,0,0,0.0,12689.8,7160.1,0.0,0,0,1,13066.7,6783.3,6280.8,0.0196,30.9057,3.3435,0,Q1_I01_T33,33,1,1,0,0,1,8,2,2,1,large,1,0,1,1,6409.0,aggregate and group over one relation
Q1_I01_T17,Q1_I01,Q1,"l2, p3, nested_loop",17,3,0,1,1,1,0,0,0,0,1,3,0.0,12689.8,6657.7,0.0,0,0,1,12815.4,6532.1,6280.8,0.0196,14.5773,1.577,0,Q1_I01_T33,33,1,1,0,0,1,8,2,2,1,large,1,0,1,1,6409.0,aggregate and group over one relation
Q1_I01_T23,Q1_I01,Q1,"l2, p3, sort_merge",23,5,0,1,1,3,2,0,0,0,1,3,0.0,12689.8,7160.1,0.0,0,0,1,13066.7,6783.3,6280.8,0.0196,15.093,1.6328,0,Q1_I01_T33,33,1,1,0,0,1,8,2,2,1,large,1,0,1,1,6409.0,aggregate and group over one relation
Q1_I01_T25,Q1_I01,Q1,"l3, serial, nested_loop",25,3,0,1,1,1,0,0,0,0,0,0,0.0,12689.8,0.0,6657.7,0,0,2,12815.4,6532.1,6280.8,0.0196,25.0562,2.7107,0,Q1_I01_T33,33,1,1,0,0,1,8,2,2,1,large,1,0,1,1,6409.0,aggregate and group over one relation
Q1_I01_T31,Q1_I01,Q1,"l3, serial, sort_merge",31,5,0,1,1,3,2,0,0,0,0,0,0.0,12689.8,0.0,7160.1,0,0,2,13066.7,6783.3,6280.8,0.0196,25.1623,2.7222,0,Q1_I01_T33,33,1,1,0,0,1,8,2,2,1,large,1,0,1,1,6409.0,aggregate and group over one relation
Q1_I01_T33,Q1_I01,Q1,"l3, p3, nested_loop",33,3,0,1,1,1,0,0,0,0,1,3,0.0,12689.8,0.0,6657.7,0,0,2,12815.4,6532.1,6280.8,0.0196,9.2435,1.0,1,Q1_I01_T33,33,1,1,0,0,1,8,2,2,1,large,1,0,1,1,6409.0,aggregate and group over one relation
Q1_I01_T39,Q1_I01,Q1,"l3, p3, sort_merge",39,5,0,1,1,3,2,0,0,0,1,3,0.0,12689.8,0.0,7160.1,0,0,2,13066.7,6783.3,6280.8,0.0196,9.3496,1.0115,0,Q1_I01_T33,33,1,1,0,0,1,8,2,2,1,large,1,0,1,1,6409.0,aggregate and group over one relation
Q2_I01_T01,Q2_I01,Q2,"home, serial, nested_loop",1,15,4,6,1,1,0,0,0,0,0,0,4772.9,0.0,0.0,0.0,0,0,0,3649.2,1123.7,1099.0,0.000354,20.0905,8.6041,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T03,Q2_I01,Q2,"home, serial, index_nested_loop",3,15,4,6,1,1,3,1,0,0,0,0,3381.4,0.0,0.0,0.0,0,0,0,2257.8,1123.7,1099.0,0.000354,14.2929,6.1212,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T04,Q2_I01,Q2,"home, serial, sort_merge",4,17,4,6,1,3,2,0,0,0,0,0,4772.9,2.0,0.0,0.0,0,0,0,3650.2,1124.7,1099.0,0.000354,20.0943,8.6057,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T05,Q2_I01,Q2,"home, p3, nested_loop",5,15,4,6,1,1,0,0,0,0,13,3,4772.9,0.0,0.0,0.0,0,0,0,3649.2,1123.7,1099.0,0.000354,6.7039,2.871,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T07,Q2_I01,Q2,"home, p3, index_nested_loop",7,15,4,6,1,1,3,1,0,0,13,3,3381.4,0.0,0.0,0.0,0,0,0,2257.8,1123.7,1099.0,0.000354,4.7714,2.0434,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T08,Q2_I01,Q2,"home, p3, sort_merge",8,17,4,6,1,3,2,0,0,0,13,3,4772.9,2.0,0.0,0.0,0,0,0,3650.2,1124.7,1099.0,0.000354,6.7076,2.8726,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T09,Q2_I01,Q2,"l2, serial, nested_loop",9,15,4,6,1,1,0,0,0,0,0,0,2528.0,0.0,2244.9,0.0,9,9,2,3649.2,1123.7,1099.0,0.000354,12.8373,5.4978,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T10,Q2_I01,Q2,"l2, serial, nested_loop, pipelined",10,15,4,6,1,1,0,0,5,5,0,0,2528.0,0.0,2240.4,0.0,9,9,2,3649.2,1119.2,1099.0,0.000354,12.8326,5.4958,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T13,Q2_I01,Q2,"l2, serial, index_nested_loop",13,15,4,6,1,1,3,1,0,0,0,0,1125.9,0.0,2255.6,0.0,9,9,2,2257.8,1123.7,1099.0,0.000354,7.0058,3.0003,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T14,Q2_I01,Q2,"l2, serial, index_nested_loop, pipelined",14,15,4,6,1,1,3,1,5,5,0,0,1125.9,0.0,2251.1,0.0,9,9,2,2257.8,1119.2,1099.0,0.000354,7.0011,2.9983,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T15,Q2_I01,Q2,"l2, serial, sort_merge",15,17,4,6,1,3,2,0,0,0,0,0,2528.0,0.0,2246.9,0.0,9,9,2,3650.2,1124.7,1099.0,0.000354,12.8394,5.4987,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T16,Q2_I01,Q2,"l2, serial, sort_merge, pipelined",16,17,4,6,1,3,2,0,5,5,0,0,2528.0,0.0,2242.4,0.0,9,9,2,3650.2,1120.2,1099.0,0.000354,12.8347,5.4967,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T17,Q2_I01,Q2,"l2, p3, nested_loop",17,15,4,6,1,1,0,0,0,0,13,3,2528.0,0.0,2244.9,0.0,9,9,2,3649.2,1123.7,1099.0,0.000354,4.2808,1.8333,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
Q2_I01_T18,Q2_I01,Q2,"l2, p3, nested_loop, pipelined",18,15,4,6,1,1,0,0,5,5,13,3,2528.0,0.0,2240.4,0.0,9,9,2,3649.2,1119.2,1099.0,0.000354,4.2789,1.8325,0,Q2_I01_T22,22,1,5,4,0,2,1,0,4,2,medium,0,3,0,0,1412.0,five-way join with correlated aggregate subquery
