task,model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_mean,f1_std,neg_mean_absolute_error_mean,neg_mean_absolute_error_std,r2_mean,r2_std,commit,n_folds
strategy,baseline (most frequent),0.4739,0.1313,0.1927,0.0543,,,,,,,not-a-git-checkout,5
strategy,kNN k=3,0.6178,0.0868,0.3979,0.0251,,,,,,,not-a-git-checkout,5
strategy,kNN k=5,0.6314,0.0707,0.3822,0.0098,,,,,,,not-a-git-checkout,5
strategy,kNN k=10,0.6331,0.0698,0.4006,0.0387,,,,,,,not-a-git-checkout,5
strategy,decision tree,0.5537,0.1389,0.3421,0.1082,,,,,,,not-a-git-checkout,5
strategy,logistic regression,0.6861,0.1125,0.4822,0.172,,,,,,,not-a-git-checkout,5
strategy,random forest,0.7107,0.1154,0.5077,0.2445,,,,,,,not-a-git-checkout,5
strategy,gradient boosting,0.6452,0.0712,0.4453,0.1232,,,,,,,not-a-git-checkout,5
optimal,baseline (most frequent),0.9627,0.0022,,,0.0,0.0,,,,,not-a-git-checkout,5
optimal,kNN k=3,0.9738,0.0048,,,0.6113,0.0708,,,,,not-a-git-checkout,5
optimal,kNN k=5,0.9728,0.0035,,,0.5494,0.0761,,,,,not-a-git-checkout,5
optimal,kNN k=10,0.9691,0.0033,,,0.3901,0.1093,,,,,not-a-git-checkout,5
optimal,decision tree,0.9743,0.0098,,,0.6103,0.1612,,,,,not-a-git-checkout,5
optimal,logistic regression,0.9622,0.0099,,,0.5186,0.1075,,,,,not-a-git-checkout,5
optimal,random forest,0.9751,0.0061,,,0.598,0.1003,,,,,not-a-git-checkout,5
optimal,gradient boosting,0.9728,0.0061,,,0.5147,0.1745,,,,,not-a-git-checkout,5
penalty,baseline (mean),,,,,,,-2.7612,0.9838,-0.6729,1.0969,not-a-git-checkout,5
penalty,kNN k=5,,,,,,,-1.4757,0.7529,-0.3187,1.7765,not-a-git-checkout,5
penalty,ridge,,,,,,,-10.1866,3.4567,-51.4082,72.9297,not-a-git-checkout,5
penalty,random forest,,,,,,,-2.6645,2.5401,-1.6421,3.7711,not-a-git-checkout,5
